transaction_id,customer_id,amount,time_of_day,point_of_transaction,country,flagged_transaction
128,493,66,4,Online,New Zealand,fraud
129,41,28,15,Gas Station,Mexico,not_fraud
130,157,84,7,Hotel,Netherlands,fraud
131,15,1084,9,Cinema,Australia,not_fraud
132,813,46,7,Bar,Canada,not_fraud
133,65,196,8,Restaurant,New Zealand,not_fraud
134,857,16,17,Retail Store,China,not_fraud
135,839,10,2,Amusement Park,New Zealand,not_fraud
136,521,83,16,Restaurant,Sweden,not_fraud
137,344,92,19,Cinema,China,not_fraud
138,129,16,14,Hotel,France,not_fraud
139,648,25,20,Cinema,New Zealand,not_fraud
140,472,1010,16,Museum,New Zealand,not_fraud
141,63,27,7,Fitness Center,Mexico,not_fraud
142,139,84,1,Hotel,New Zealand,not_fraud
143,499,46,16,Hotel,Australia,not_fraud
144,593,31,17,Gas Station,Spain,not_fraud
145,392,33,4,Fitness Center,Russia,not_fraud
146,675,10,8,Supermarket,Japan,not_fraud
147,419,27,8,Retail Store,New Zealand,not_fraud
148,289,61,1,Supermarket,Germany,not_fraud
149,379,192,1,Retail Store,Russia,not_fraud
150,773,1103,18,Hotel,Italy,not_fraud
151,490,11,22,Hotel,Brazil,not_fraud
152,231,124,2,Restaurant,Italy,not_fraud
153,41,86,16,Online,South Africa,fraud
154,28,85,13,Fitness Center,Australia,not_fraud
155,135,40,13,Amusement Park,USA,not_fraud
156,201,35,13,Museum,Australia,not_fraud
157,840,28,5,Restaurant,Mexico,not_fraud
158,780,13,2,Amusement Park,New Zealand,not_fraud
159,930,22,0,Supermarket,Brazil,not_fraud
160,33,24,15,ATM,Netherlands,fraud
161,48,43,3,Retail Store,Japan,not_fraud
162,503,78,0,Restaurant,Singapore,not_fraud
163,407,1042,16,Retail Store,New Zealand,not_fraud
164,574,1012,17,Fitness Center,United Kingdom,not_fraud
165,728,168,7,Online,Italy,fraud
166,805,152,1,Supermarket,Sweden,not_fraud
167,99,86,17,Supermarket,Australia,not_fraud
168,684,247,15,Gas Station,South Africa,not_fraud
169,872,49,9,Hotel,Sweden,not_fraud
170,726,174,7,Retail Store,Netherlands,not_fraud
171,987,13,11,Amusement Park,Sweden,not_fraud
172,547,32,21,Gas Station,France,not_fraud
173,961,22,15,Bar,Spain,not_fraud
174,739,20,11,Cinema,Canada,not_fraud
175,613,17,10,Museum,Japan,not_fraud
176,943,58,19,Museum,Mexico,not_fraud
177,462,86,18,Bar,Canada,not_fraud
178,643,53,0,Restaurant,Japan,not_fraud
179,769,17,2,Hotel,Japan,not_fraud
180,5,93,11,Amusement Park,Switzerland,not_fraud
181,218,60,8,Museum,USA,not_fraud
182,503,34,20,Retail Store,Mexico,not_fraud
183,767,66,21,Restaurant,Canada,not_fraud
184,398,25,4,Amusement Park,Sweden,not_fraud
185,871,31,0,Supermarket,South Africa,not_fraud
186,795,134,9,Gas Station,Switzerland,not_fraud
187,393,27,16,Restaurant,Japan,not_fraud
188,207,41,3,Bar,United Kingdom,not_fraud
189,15,120,14,Fitness Center,China,not_fraud
190,858,71,18,Supermarket,Germany,not_fraud
191,554,13,7,ATM,Germany,fraud
192,892,17,22,Retail Store,China,not_fraud
193,461,10,14,Online,France,fraud
194,691,59,6,Hotel,Australia,not_fraud
195,575,39,14,Hotel,New Zealand,not_fraud
196,864,17,7,ATM,Mexico,fraud
197,743,168,22,Cinema,India,not_fraud
198,241,47,9,Cinema,Italy,not_fraud
199,564,23,17,Gas Station,France,not_fraud
200,96,44,3,Restaurant,Russia,not_fraud
201,900,66,14,Fitness Center,India,not_fraud
202,734,13,10,Restaurant,Singapore,not_fraud
203,485,26,21,Amusement Park,United Kingdom,not_fraud
204,407,92,2,Supermarket,New Zealand,not_fraud
205,231,40,14,Amusement Park,Switzerland,not_fraud
206,749,49,2,Amusement Park,India,not_fraud
207,655,38,14,Cinema,Sweden,not_fraud
208,171,12,5,Museum,Australia,not_fraud
209,541,19,0,Fitness Center,Italy,not_fraud
210,36,39,13,Hotel,United Kingdom,not_fraud
211,525,21,15,ATM,Australia,fraud
212,160,12,0,Restaurant,United Kingdom,not_fraud
213,839,102,20,Amusement Park,Japan,not_fraud
214,699,208,16,Bar,Switzerland,not_fraud
215,243,88,7,ATM,Spain,fraud
216,86,106,17,Online,Japan,fraud
217,796,23,15,Cinema,Japan,not_fraud
218,578,171,5,Gas Station,Brazil,not_fraud
219,682,20,9,Supermarket,Italy,not_fraud
220,557,161,9,Cinema,Canada,not_fraud
221,574,273,4,Hotel,United Kingdom,not_fraud
222,953,72,11,Online,Brazil,fraud
223,646,208,19,ATM,Sweden,fraud
224,796,52,16,ATM,Mexico,fraud
225,28,25,13,Gas Station,USA,not_fraud
226,620,1038,13,Hotel,Netherlands,not_fraud
227,556,55,2,Hotel,Germany,not_fraud
228,340,13,11,ATM,France,fraud
229,798,1058,19,Online,USA,fraud
230,958,208,17,ATM,France,fraud
231,331,20,11,Fitness Center,Italy,not_fraud
232,640,88,1,Supermarket,Spain,not_fraud
233,506,129,1,Museum,Mexico,not_fraud
234,348,153,16,Museum,Spain,not_fraud
235,473,171,9,Hotel,Spain,not_fraud
236,231,46,17,Cinema,India,not_fraud
237,190,199,21,ATM,India,fraud
238,225,1080,18,Cinema,Switzerland,not_fraud
239,385,1018,20,Gas Station,Singapore,not_fraud
240,377,42,0,Amusement Park,Sweden,not_fraud
241,283,73,23,Retail Store,Australia,not_fraud
242,958,24,3,Amusement Park,Brazil,not_fraud
243,633,61,3,Retail Store,Germany,not_fraud
244,628,64,1,Museum,South Africa,not_fraud
245,973,18,18,Gas Station,Germany,not_fraud
246,745,51,20,Bar,Italy,not_fraud
247,259,83,11,Supermarket,Japan,not_fraud
248,359,44,9,Restaurant,Sweden,not_fraud
249,710,10,12,Bar,New Zealand,not_fraud
250,456,10,21,Fitness Center,Australia,not_fraud
251,411,32,22,Online,Brazil,fraud
252,649,140,19,Fitness Center,South Africa,not_fraud
253,318,22,22,Bar,China,not_fraud
254,677,60,14,Amusement Park,France,not_fraud
255,225,22,2,Restaurant,Sweden,not_fraud
256,819,29,22,Supermarket,Japan,not_fraud
257,234,104,19,Museum,United Kingdom,not_fraud
258,684,75,12,Restaurant,Spain,not_fraud
259,664,15,7,Hotel,Italy,not_fraud
260,975,37,6,Online,Japan,fraud
261,827,11,23,Retail Store,Italy,not_fraud
262,374,42,7,Bar,France,not_fraud
263,672,64,17,Cinema,Netherlands,not_fraud
264,608,16,8,Hotel,Italy,not_fraud
265,472,27,5,Retail Store,China,not_fraud
266,233,35,3,Supermarket,Switzerland,not_fraud
267,692,135,14,Restaurant,Canada,not_fraud
268,113,259,4,Supermarket,Netherlands,not_fraud
269,830,12,4,Museum,Russia,not_fraud
270,497,81,6,Amusement Park,Japan,not_fraud
271,442,33,8,Retail Store,Japan,not_fraud
272,564,34,6,Museum,India,not_fraud
273,268,80,8,Supermarket,Germany,not_fraud
274,510,135,19,Cinema,France,fraud
275,807,160,9,Retail Store,Spain,not_fraud
276,386,53,3,Cinema,Switzerland,not_fraud
277,387,32,5,ATM,France,fraud
278,113,87,23,Supermarket,Sweden,not_fraud
279,613,24,13,Online,USA,fraud
280,625,51,8,Retail Store,France,not_fraud
281,952,32,0,Retail Store,Australia,not_fraud
282,81,63,16,ATM,Russia,fraud
283,699,1023,12,Retail Store,Italy,not_fraud
284,113,20,23,Cinema,China,not_fraud
285,2,1135,6,Online,India,fraud
286,642,15,8,Bar,Switzerland,not_fraud
287,220,45,10,Retail Store,Canada,not_fraud
288,566,22,2,Fitness Center,Japan,not_fraud
289,855,11,11,Fitness Center,Spain,fraud
290,997,11,20,ATM,Spain,fraud
291,736,1019,2,Bar,France,fraud
292,225,1110,14,Online,India,fraud
293,385,26,20,Fitness Center,Mexico,not_fraud
294,403,160,9,Hotel,Sweden,not_fraud
295,638,53,0,Online,United Kingdom,fraud
296,130,38,13,Restaurant,South Africa,not_fraud
297,53,53,19,Online,USA,fraud
298,684,46,5,Restaurant,Singapore,not_fraud
299,730,1081,1,Cinema,Canada,fraud
300,672,26,22,Supermarket,Sweden,not_fraud
301,710,31,7,Restaurant,Russia,not_fraud
302,416,122,0,Retail Store,Australia,not_fraud
303,247,156,3,ATM,Netherlands,fraud
304,836,121,3,Retail Store,South Africa,not_fraud
305,439,37,4,Amusement Park,Mexico,not_fraud
306,203,85,19,Retail Store,China,not_fraud
307,184,42,8,Bar,India,not_fraud
308,123,44,22,Restaurant,Canada,not_fraud
309,401,21,12,ATM,USA,fraud
310,767,54,17,Bar,Australia,not_fraud
311,294,20,16,Supermarket,New Zealand,not_fraud
312,280,30,0,Restaurant,Russia,not_fraud
313,837,106,21,Bar,France,not_fraud
314,884,21,14,Supermarket,Canada,not_fraud
315,610,13,1,Gas Station,Sweden,not_fraud
316,198,13,15,Hotel,Netherlands,not_fraud
317,982,151,19,Cinema,South Africa,not_fraud
318,907,45,21,Online,Singapore,fraud
319,511,36,4,Supermarket,Netherlands,not_fraud
320,752,93,21,Online,South Africa,fraud
321,144,100,18,ATM,Brazil,fraud
322,609,30,4,Hotel,India,not_fraud
323,201,1069,1,Museum,Canada,fraud
324,124,83,6,Museum,Netherlands,not_fraud
325,187,63,2,Online,Netherlands,fraud
326,326,18,16,Supermarket,Sweden,not_fraud
327,464,114,23,Hotel,Netherlands,not_fraud
328,349,48,23,Retail Store,Canada,fraud
329,771,26,2,Amusement Park,Sweden,not_fraud
330,660,37,12,Cinema,United Kingdom,not_fraud
331,764,11,6,Museum,Russia,not_fraud
332,955,16,23,Online,Switzerland,fraud
333,932,82,2,ATM,USA,fraud
334,403,10,14,Amusement Park,Spain,not_fraud
335,346,36,17,Cinema,Canada,not_fraud
336,963,46,9,Museum,Russia,not_fraud
337,511,12,22,Online,USA,fraud
338,147,190,6,Bar,China,not_fraud
339,148,22,8,Hotel,New Zealand,not_fraud
340,864,28,4,Online,Netherlands,fraud
341,711,28,19,Hotel,South Africa,not_fraud
342,820,23,7,Bar,Brazil,not_fraud
343,489,10,13,ATM,Netherlands,fraud
344,929,75,3,Gas Station,Netherlands,not_fraud
345,936,180,19,Bar,Mexico,not_fraud
346,640,22,13,Supermarket,Japan,not_fraud
347,551,64,11,Museum,Brazil,not_fraud
348,338,77,1,Restaurant,Brazil,not_fraud
349,872,104,12,Gas Station,Japan,not_fraud
350,641,37,0,Fitness Center,Italy,not_fraud
351,779,28,19,Museum,France,not_fraud
352,988,29,6,Online,Switzerland,fraud
353,953,72,8,Amusement Park,Australia,not_fraud
354,473,94,16,Retail Store,Netherlands,not_fraud
355,946,20,20,Online,Germany,fraud
356,151,33,22,Gas Station,Switzerland,not_fraud
357,415,126,12,Gas Station,United Kingdom,not_fraud
358,990,92,22,Amusement Park,South Africa,not_fraud
359,298,219,9,Cinema,United Kingdom,not_fraud
360,611,80,15,Fitness Center,Sweden,not_fraud
361,263,34,5,Cinema,United Kingdom,not_fraud
362,764,54,15,Supermarket,New Zealand,not_fraud
363,144,64,10,Cinema,China,not_fraud
364,346,14,19,Fitness Center,New Zealand,not_fraud
365,624,49,2,Cinema,Russia,not_fraud
366,572,71,8,Amusement Park,United Kingdom,not_fraud
367,881,19,14,Fitness Center,Germany,not_fraud
368,2,85,12,Retail Store,South Africa,not_fraud
369,897,53,9,Cinema,United Kingdom,not_fraud
370,304,162,19,Museum,USA,not_fraud
371,254,12,23,Fitness Center,Mexico,not_fraud
372,652,25,12,ATM,Mexico,fraud
373,453,56,16,Hotel,Canada,not_fraud
374,37,27,6,Cinema,Sweden,not_fraud
375,160,72,5,ATM,Germany,fraud
376,9,81,12,Bar,Australia,not_fraud
377,233,15,16,Gas Station,South Africa,not_fraud
378,99,46,14,Restaurant,Japan,not_fraud
379,659,45,3,Supermarket,Spain,not_fraud
380,816,33,14,Hotel,Russia,not_fraud
381,208,145,13,Supermarket,USA,not_fraud
382,131,97,20,Supermarket,Germany,not_fraud
383,404,69,10,Gas Station,Brazil,not_fraud
384,152,72,23,Retail Store,India,not_fraud
385,54,40,3,Online,China,fraud
386,120,136,2,ATM,China,fraud
387,673,69,1,Hotel,South Africa,not_fraud
388,920,1075,19,Amusement Park,Canada,not_fraud
389,628,108,9,ATM,Russia,fraud
390,587,26,12,Retail Store,United Kingdom,not_fraud
391,625,92,19,Cinema,Singapore,fraud
392,968,1020,20,Gas Station,China,not_fraud
393,420,31,22,Fitness Center,Japan,not_fraud
394,422,30,17,Cinema,Italy,not_fraud
395,104,202,20,Gas Station,Singapore,not_fraud
396,852,107,15,Gas Station,Canada,not_fraud
397,254,70,10,Hotel,Japan,not_fraud
398,227,74,9,Online,Switzerland,fraud
399,112,51,8,Retail Store,India,not_fraud
400,510,156,11,ATM,Russia,fraud
401,473,44,18,Amusement Park,Australia,not_fraud
402,99,33,0,Hotel,China,not_fraud
403,153,18,17,Online,USA,fraud
404,861,87,13,Cinema,Sweden,not_fraud
405,914,76,21,Supermarket,USA,not_fraud
406,896,34,20,Hotel,Spain,not_fraud
407,878,11,0,ATM,South Africa,fraud
408,338,101,16,Hotel,New Zealand,not_fraud
409,706,10,10,Fitness Center,Australia,not_fraud
410,822,70,19,Online,New Zealand,fraud
411,163,185,14,Gas Station,Switzerland,not_fraud
412,720,38,3,ATM,Netherlands,fraud
413,957,23,14,ATM,India,fraud
414,681,71,21,Restaurant,Switzerland,not_fraud
415,996,94,21,Amusement Park,Canada,not_fraud
416,161,49,13,Museum,Japan,not_fraud
417,580,180,21,ATM,New Zealand,fraud
418,801,12,0,Hotel,Brazil,not_fraud
419,398,45,8,Bar,Mexico,not_fraud
420,277,73,6,Hotel,Germany,not_fraud
421,816,109,22,Supermarket,South Africa,not_fraud
422,916,19,10,ATM,Mexico,fraud
423,504,90,22,Supermarket,Switzerland,not_fraud
424,896,50,1,Restaurant,Switzerland,not_fraud
425,392,35,1,Amusement Park,China,not_fraud
426,135,17,5,Amusement Park,Australia,not_fraud
427,195,1110,22,Retail Store,Brazil,not_fraud
428,401,18,18,Retail Store,South Africa,not_fraud
429,640,28,19,Museum,Mexico,not_fraud
430,33,27,13,Hotel,Singapore,not_fraud
431,688,112,2,Museum,Switzerland,not_fraud
432,460,65,6,Online,Netherlands,fraud
433,955,89,6,Hotel,China,not_fraud
434,883,24,3,Hotel,Switzerland,not_fraud
435,470,59,22,Museum,Germany,not_fraud
436,375,52,4,Retail Store,China,not_fraud
437,22,99,16,ATM,Japan,not_fraud
438,750,128,3,Restaurant,Germany,not_fraud
439,670,10,22,Museum,China,not_fraud
440,38,66,12,Fitness Center,France,not_fraud
441,230,12,15,Fitness Center,South Africa,not_fraud
442,365,49,15,Fitness Center,Sweden,not_fraud
443,563,26,1,Online,Netherlands,fraud
444,438,28,17,Online,Singapore,fraud
445,776,31,0,Retail Store,Germany,not_fraud
446,283,58,17,Restaurant,Singapore,not_fraud
447,27,30,7,Amusement Park,USA,not_fraud
448,226,75,10,Museum,Japan,not_fraud
449,277,35,23,ATM,Germany,fraud
450,798,13,23,Bar,Brazil,not_fraud
451,609,86,14,Fitness Center,Germany,not_fraud
452,284,26,15,Supermarket,Switzerland,not_fraud
453,879,38,16,Retail Store,South Africa,not_fraud
454,960,67,16,Supermarket,France,not_fraud
455,481,1030,11,Restaurant,USA,not_fraud
456,453,12,9,Hotel,New Zealand,not_fraud
457,829,33,19,Supermarket,Italy,not_fraud
458,816,154,5,Online,Australia,fraud
459,659,61,7,Fitness Center,Switzerland,not_fraud
460,516,65,12,Hotel,Russia,not_fraud
461,547,60,1,Supermarket,United Kingdom,not_fraud
462,192,21,18,Fitness Center,New Zealand,not_fraud
463,49,37,21,Retail Store,Singapore,not_fraud
464,512,79,9,ATM,China,fraud
465,17,15,3,Amusement Park,Singapore,not_fraud
466,172,26,11,Gas Station,USA,not_fraud
467,220,26,17,Amusement Park,Sweden,not_fraud
468,158,38,6,Gas Station,Canada,not_fraud
469,477,206,19,Online,Spain,fraud
470,46,13,23,Hotel,United Kingdom,not_fraud
471,373,46,23,ATM,South Africa,fraud
472,518,19,22,Amusement Park,Australia,not_fraud
473,99,186,3,Bar,Sweden,not_fraud
474,892,16,6,Fitness Center,Russia,not_fraud
475,745,35,9,Amusement Park,Mexico,not_fraud
476,37,76,14,ATM,Italy,fraud
477,280,1070,11,Amusement Park,Mexico,not_fraud
478,349,37,0,Bar,Mexico,not_fraud
479,497,1031,19,Cinema,New Zealand,not_fraud
480,302,35,17,Amusement Park,Singapore,not_fraud
481,181,25,15,Hotel,United Kingdom,not_fraud
482,607,21,4,Supermarket,South Africa,not_fraud
483,99,42,18,Bar,India,not_fraud
484,700,25,3,Gas Station,Sweden,not_fraud
485,993,26,5,ATM,Spain,fraud
486,116,63,16,Bar,China,not_fraud
487,191,182,6,ATM,Spain,fraud
488,253,56,23,Online,USA,fraud
489,981,14,22,Online,Canada,fraud
490,928,13,6,Bar,Spain,not_fraud
491,983,161,8,Restaurant,Canada,not_fraud
492,161,27,12,Amusement Park,Mexico,not_fraud
493,256,14,19,Restaurant,Spain,not_fraud
494,323,55,13,Supermarket,Singapore,not_fraud
495,128,58,15,Restaurant,China,not_fraud
496,18,62,22,Bar,USA,not_fraud
497,793,25,8,Restaurant,Russia,not_fraud
498,735,10,14,Fitness Center,Singapore,not_fraud
499,566,177,4,Fitness Center,New Zealand,not_fraud
500,570,24,17,Museum,Mexico,not_fraud
501,323,66,20,Fitness Center,Brazil,not_fraud
502,872,71,19,Supermarket,China,not_fraud
503,686,57,7,Hotel,Australia,not_fraud
504,792,28,14,Cinema,Canada,not_fraud
505,626,25,20,Cinema,South Africa,not_fraud
506,288,55,8,Museum,South Africa,not_fraud
507,943,110,18,Cinema,Mexico,not_fraud
508,854,156,21,Fitness Center,United Kingdom,not_fraud
509,663,15,5,Restaurant,Canada,not_fraud
510,962,18,3,Amusement Park,Germany,not_fraud
511,639,154,10,Cinema,Brazil,not_fraud
512,155,76,9,Cinema,Switzerland,not_fraud
513,490,117,2,Gas Station,Spain,not_fraud
514,386,21,0,Amusement Park,Canada,not_fraud
515,986,54,11,Museum,Australia,not_fraud
516,785,70,22,ATM,Netherlands,fraud
517,104,66,14,Bar,Singapore,not_fraud
518,929,36,14,Restaurant,Spain,not_fraud
519,393,1010,20,Fitness Center,Spain,not_fraud
520,811,53,13,Supermarket,Germany,not_fraud
521,246,24,6,ATM,Brazil,fraud
522,176,39,16,Restaurant,France,not_fraud
523,39,168,23,Bar,China,not_fraud
524,477,35,18,Online,Germany,fraud
525,682,101,6,Bar,Brazil,not_fraud
526,759,20,2,Fitness Center,Canada,not_fraud
527,538,65,2,Museum,New Zealand,not_fraud
528,867,198,17,Online,Singapore,fraud
529,818,15,19,Fitness Center,USA,not_fraud
530,921,10,21,Cinema,Russia,not_fraud
531,408,38,13,Retail Store,Sweden,not_fraud
532,525,14,2,Online,United Kingdom,fraud
533,828,78,6,ATM,Sweden,fraud
534,506,132,6,Museum,India,not_fraud
535,903,38,4,Online,Italy,fraud
536,825,24,2,ATM,Australia,fraud
537,36,38,17,Amusement Park,Brazil,not_fraud
538,685,74,14,Bar,Australia,not_fraud
539,20,10,19,Amusement Park,France,not_fraud
540,321,1054,13,Cinema,China,not_fraud
541,776,57,3,Online,Sweden,fraud
542,512,60,23,Museum,Sweden,not_fraud
543,400,23,7,ATM,Mexico,fraud
544,654,72,20,Hotel,Switzerland,not_fraud
545,972,14,12,Bar,Canada,not_fraud
546,883,21,21,ATM,Brazil,fraud
547,471,114,7,Fitness Center,Sweden,not_fraud
548,143,77,14,Supermarket,Brazil,not_fraud
549,92,10,16,Online,Singapore,fraud
550,354,24,4,Fitness Center,Italy,not_fraud
551,834,22,19,Bar,New Zealand,not_fraud
552,800,25,3,Cinema,India,not_fraud
553,727,24,10,Hotel,Switzerland,not_fraud
554,959,13,17,Museum,South Africa,not_fraud
555,854,40,9,Online,Germany,fraud
556,51,75,16,Gas Station,Australia,not_fraud
557,665,56,14,Supermarket,Canada,not_fraud
558,698,65,5,Online,India,fraud
559,575,14,22,Cinema,Brazil,not_fraud
560,190,161,20,Restaurant,South Africa,not_fraud
561,125,101,15,Gas Station,Japan,not_fraud
562,150,91,14,Online,Italy,fraud
563,314,96,7,Cinema,Italy,not_fraud
564,570,144,8,Museum,France,not_fraud
565,342,49,10,Restaurant,Sweden,not_fraud
566,305,21,1,Hotel,Netherlands,not_fraud
567,692,57,12,ATM,Italy,fraud
568,682,77,3,Bar,France,not_fraud
569,838,76,8,Online,Singapore,fraud
570,783,46,4,Supermarket,Sweden,not_fraud
571,54,13,18,Bar,Mexico,not_fraud
572,444,33,21,Fitness Center,Switzerland,not_fraud
573,613,136,2,Restaurant,Spain,not_fraud
574,993,53,20,Amusement Park,Japan,not_fraud
575,264,48,2,Bar,China,not_fraud
576,53,25,5,Fitness Center,Italy,not_fraud
577,572,32,9,Restaurant,Singapore,not_fraud
578,620,122,4,Gas Station,Brazil,not_fraud
579,5,64,2,Museum,Canada,not_fraud
580,103,87,21,Online,Brazil,fraud
581,196,40,23,Retail Store,South Africa,not_fraud
582,774,59,6,Online,Sweden,fraud
583,877,24,21,Museum,India,not_fraud
584,992,71,17,Online,South Africa,fraud
585,884,37,22,Museum,Switzerland,not_fraud
586,350,39,7,Supermarket,Japan,not_fraud
587,47,62,0,Online,Switzerland,fraud
588,867,147,3,Restaurant,Netherlands,not_fraud
589,823,13,23,ATM,Germany,fraud
590,936,97,6,Bar,India,not_fraud
591,820,27,13,Cinema,Sweden,not_fraud
592,656,39,12,Supermarket,Italy,not_fraud
593,269,11,9,Online,Germany,fraud
594,370,27,22,Bar,Germany,not_fraud
595,636,44,17,Museum,New Zealand,not_fraud
596,106,12,0,Cinema,India,not_fraud
597,670,43,3,Amusement Park,Netherlands,not_fraud
598,659,140,15,ATM,Mexico,fraud
599,657,15,15,Museum,Russia,not_fraud
