review_id,customer_id,payment_method,rating,review_text
69,14,Credit Card,2,Excellent service!
70,242,Credit Card,1,Excellent service!
71,777,Credit Card,3,Excellent service!
72,346,PayPal,2,Excellent service!
73,565,Credit Card,1,Excellent service!
74,898,Credit Card,3,Terrible experience...
75,340,PayPal,2,Average quality.
76,92,PayPal,2,Average quality.
77,367,Credit Card,3,Terrible experience...
78,956,PayPal,2,Average quality.
79,455,Debit Card,5,Excellent service!
80,428,Debit Card,3,Excellent service!
81,509,PayPal,2,Average quality.
82,776,PayPal,1,Excellent service!
83,943,Credit Card,1,Excellent service!
84,35,PayPal,5,Average quality.
85,206,Credit Card,3,Terrible experience...
86,81,Debit Card,2,Average quality.
87,932,PayPal,2,Average quality.
88,562,Credit Card,1,Average quality.
89,872,Credit Card,5,Average quality.
90,388,Debit Card,1,Terrible experience...
91,2,PayPal,1,Terrible experience...
92,390,Debit Card,5,Excellent service!
93,566,Credit Card,3,Excellent service!
94,106,Credit Card,2,Average quality.
95,772,PayPal,3,Excellent service!
96,822,Credit Card,4,Terrible experience...
97,477,PayPal,4,Excellent service!
98,703,Debit Card,4,Excellent service!
99,402,PayPal,5,Excellent service!
100,730,PayPal,1,Average quality.
101,556,Credit Card,3,Excellent service!
102,162,Credit Card,2,Terrible experience...
103,202,PayPal,4,Terrible experience...
104,958,Credit Card,3,Terrible experience...
105,996,Credit Card,4,Terrible experience...
106,270,Credit Card,4,Excellent service!
107,863,PayPal,2,Average quality.
108,816,Credit Card,5,Terrible experience...
109,271,PayPal,1,Terrible experience...
110,456,Credit Card,5,Average quality.
111,462,Debit Card,3,Average quality.
112,727,Credit Card,5,Terrible experience...
113,252,Credit Card,3,Terrible experience...
114,702,PayPal,3,Average quality.
115,296,PayPal,1,Terrible experience...
116,725,Credit Card,2,Terrible experience...
117,720,Debit Card,1,Excellent service!
118,749,Credit Card,5,Average quality.
119,338,Credit Card,3,Excellent service!
120,879,Debit Card,4,Excellent service!
121,53,PayPal,4,Average quality.
122,792,Credit Card,3,Excellent service!
123,922,PayPal,1,Terrible experience...
124,217,PayPal,2,Excellent service!
125,764,Debit Card,1,Average quality.
126,188,Debit Card,3,Terrible experience...
127,380,PayPal,3,Terrible experience...
128,493,Credit Card,2,Terrible experience...
129,41,PayPal,5,Terrible experience...
130,157,Credit Card,5,Excellent service!
131,15,Credit Card,2,Excellent service!
132,813,Debit Card,5,Terrible experience...
133,65,Credit Card,4,Average quality.
134,857,Credit Card,5,Terrible experience...
135,839,PayPal,5,Excellent service!
136,521,Debit Card,5,Terrible experience...
137,344,Credit Card,4,Excellent service!
138,129,Credit Card,5,Terrible experience...
139,648,Debit Card,4,Average quality.
140,472,PayPal,2,Terrible experience...
141,63,Debit Card,1,Average quality.
142,139,Debit Card,2,Average quality.
143,499,Credit Card,1,Terrible experience...
144,593,Credit Card,2,Average quality.
145,392,PayPal,1,Average quality.
146,675,Credit Card,1,Excellent service!
147,419,Credit Card,3,Excellent service!
148,289,Debit Card,1,Average quality.
149,379,Credit Card,1,Terrible experience...
150,773,PayPal,3,Average quality.
151,490,Debit Card,5,Terrible experience...
152,231,PayPal,5,Excellent service!
153,41,Debit Card,3,Terrible experience...
154,28,Credit Card,4,Average quality.
155,135,Debit Card,1,Average quality.
156,201,Debit Card,1,Average quality.
157,840,Credit Card,3,Average quality.
158,780,Credit Card,3,Average quality.
159,930,PayPal,4,Terrible experience...
160,33,PayPal,5,Average quality.
161,48,Credit Card,2,Excellent service!
162,503,Credit Card,5,Average quality.
163,407,Credit Card,1,Terrible experience...
164,574,Debit Card,3,Average quality.
165,728,Debit Card,4,Average quality.
166,805,Debit Card,5,Terrible experience...
167,99,Credit Card,4,Average quality.
168,684,PayPal,5,Terrible experience...
169,872,Credit Card,1,Average quality.
170,726,Debit Card,2,Excellent service!
171,987,Debit Card,4,Average quality.
172,547,Credit Card,4,Terrible experience...
173,961,Credit Card,2,Excellent service!
174,739,Debit Card,4,Terrible experience...
175,613,Debit Card,4,Average quality.
176,943,Debit Card,5,Excellent service!
177,462,Credit Card,5,Terrible experience...
178,643,Debit Card,2,Excellent service!
179,769,Debit Card,1,Excellent service!
180,5,PayPal,4,Terrible experience...
181,218,Credit Card,1,Excellent service!
182,503,PayPal,2,Terrible experience...
183,767,PayPal,2,Excellent service!
184,398,Debit Card,5,Excellent service!
185,871,Credit Card,4,Excellent service!
186,795,Debit Card,3,Average quality.
187,393,Credit Card,2,Average quality.
188,207,PayPal,4,Terrible experience...
189,15,Credit Card,1,Excellent service!
190,858,Debit Card,5,Terrible experience...
191,554,Debit Card,1,Average quality.
192,892,Debit Card,2,Average quality.
193,461,Credit Card,2,Average quality.
194,691,PayPal,1,Average quality.
195,575,PayPal,2,Terrible experience...
196,864,Credit Card,4,Excellent service!
197,743,Debit Card,2,Terrible experience...
198,241,PayPal,5,Excellent service!
199,564,Debit Card,4,Average quality.
200,96,Credit Card,3,Excellent service!
201,900,Debit Card,2,Average quality.
202,734,PayPal,2,Terrible experience...
203,485,PayPal,5,Excellent service!
204,407,Debit Card,5,Terrible experience...
205,231,Credit Card,1,Average quality.
206,749,Debit Card,1,Terrible experience...
207,655,Credit Card,1,Average quality.
208,171,Debit Card,5,Average quality.
209,541,PayPal,1,Average quality.
210,36,Credit Card,1,Terrible experience...
211,525,Credit Card,3,Terrible experience...
212,160,Credit Card,1,Excellent service!
213,839,PayPal,2,Excellent service!
214,699,Debit Card,5,Terrible experience...
215,243,PayPal,4,Terrible experience...
216,86,Credit Card,3,Terrible experience...
217,796,Debit Card,5,Terrible experience...
218,578,PayPal,5,Average quality.
219,682,Credit Card,2,Average quality.
220,557,Credit Card,1,Average quality.
221,574,PayPal,2,Terrible experience...
222,953,PayPal,1,Average quality.
223,646,PayPal,1,Average quality.
224,796,Credit Card,5,Excellent service!
225,28,PayPal,1,Excellent service!
226,620,Credit Card,3,Average quality.
227,556,PayPal,3,Average quality.
228,340,Credit Card,3,Average quality.
229,798,Credit Card,5,Terrible experience...
230,958,Debit Card,2,Excellent service!
231,331,PayPal,4,Excellent service!
232,640,PayPal,1,Excellent service!
233,506,Credit Card,4,Average quality.
234,348,Credit Card,2,Terrible experience...
235,473,Credit Card,2,Excellent service!
236,231,Debit Card,5,Excellent service!
237,190,Debit Card,3,Terrible experience...
238,225,Credit Card,3,Average quality.
239,385,PayPal,2,Average quality.
240,377,PayPal,5,Excellent service!
241,283,Debit Card,5,Excellent service!
242,958,Debit Card,1,Terrible experience...
243,633,Credit Card,3,Excellent service!
244,628,PayPal,2,Terrible experience...
245,973,Credit Card,4,Excellent service!
246,745,Debit Card,3,Excellent service!
247,259,PayPal,1,Excellent service!
248,359,PayPal,5,Average quality.
249,710,Debit Card,2,Terrible experience...
250,456,Credit Card,3,Terrible experience...
251,411,Credit Card,4,Average quality.
252,649,PayPal,1,Average quality.
253,318,Debit Card,1,Average quality.
254,677,PayPal,3,Terrible experience...
255,225,Debit Card,4,Excellent service!
256,819,Credit Card,1,Average quality.
257,234,Debit Card,2,Average quality.
258,684,Credit Card,1,Average quality.
259,664,Debit Card,4,Excellent service!
260,975,PayPal,5,Excellent service!
261,827,Credit Card,5,Average quality.
262,374,PayPal,3,Excellent service!
263,672,PayPal,4,Average quality.
264,608,Credit Card,1,Excellent service!
265,472,Credit Card,1,Terrible experience...
266,233,PayPal,5,Terrible experience...
267,692,PayPal,5,Excellent service!
268,113,PayPal,2,Terrible experience...
269,830,PayPal,5,Terrible experience...
270,497,Credit Card,2,Terrible experience...
271,442,Credit Card,1,Average quality.
272,564,PayPal,2,Excellent service!
273,268,Debit Card,2,Excellent service!
274,510,Debit Card,3,Excellent service!
275,807,Credit Card,5,Terrible experience...
276,386,PayPal,2,Average quality.
277,387,PayPal,1,Excellent service!
278,113,Credit Card,4,Terrible experience...
279,613,Debit Card,2,Average quality.
280,625,Debit Card,5,Average quality.
281,952,Debit Card,3,Excellent service!
282,81,Credit Card,1,Excellent service!
283,699,Debit Card,3,Terrible experience...
284,113,Credit Card,4,Excellent service!
285,2,Credit Card,2,Terrible experience...
286,642,PayPal,2,Average quality.
287,220,Debit Card,5,Average quality.
288,566,Credit Card,2,Average quality.
289,855,Debit Card,1,Average quality.
290,997,Debit Card,4,Excellent service!
291,736,PayPal,3,Excellent service!
292,225,Debit Card,4,Terrible experience...
293,385,PayPal,2,Terrible experience...
294,403,Credit Card,3,Terrible experience...
295,638,Debit Card,5,Terrible experience...
296,130,Credit Card,4,Terrible experience...
297,53,Debit Card,3,Average quality.
298,684,Credit Card,3,Average quality.
299,730,Debit Card,3,Average quality.
300,672,Debit Card,1,Terrible experience...
301,710,Debit Card,4,Average quality.
302,416,Debit Card,3,Average quality.
303,247,Debit Card,4,Average quality.
304,836,Debit Card,3,Average quality.
305,439,Debit Card,5,Excellent service!
306,203,Debit Card,5,Terrible experience...
307,184,Debit Card,5,Terrible experience...
308,123,Credit Card,2,Excellent service!
309,401,PayPal,3,Average quality.
310,767,Debit Card,2,Average quality.
311,294,PayPal,4,Average quality.
312,280,Debit Card,2,Terrible experience...
313,837,Debit Card,4,Terrible experience...
314,884,Credit Card,4,Terrible experience...
315,610,Credit Card,4,Terrible experience...
316,198,PayPal,2,Terrible experience...
317,982,Credit Card,3,Excellent service!
318,907,Credit Card,2,Terrible experience...
319,511,PayPal,3,Average quality.
320,752,Credit Card,3,Terrible experience...
321,144,Debit Card,4,Excellent service!
322,609,PayPal,2,Average quality.
323,201,PayPal,3,Excellent service!
324,124,Debit Card,5,Average quality.
325,187,Credit Card,3,Terrible experience...
326,326,PayPal,5,Excellent service!
327,464,PayPal,2,Average quality.
328,349,Debit Card,2,Terrible experience...
329,771,Debit Card,2,Average quality.
330,660,Credit Card,3,Excellent service!
331,764,PayPal,1,Excellent service!
332,955,Credit Card,3,Excellent service!
333,932,Credit Card,3,Excellent service!
334,403,Debit Card,4,Terrible experience...
335,346,PayPal,4,Average quality.
336,963,PayPal,3,Terrible experience...
337,511,PayPal,5,Excellent service!
338,147,Debit Card,4,Average quality.
339,148,Debit Card,3,Excellent service!
340,864,Debit Card,1,Terrible experience...
341,711,Debit Card,5,Terrible experience...
342,820,Debit Card,2,Terrible experience...
343,489,PayPal,3,Average quality.
344,929,Credit Card,3,Average quality.
345,936,PayPal,5,Excellent service!
346,640,Credit Card,4,Average quality.
347,551,Debit Card,4,Average quality.
348,338,Credit Card,4,Terrible experience...
349,872,PayPal,2,Excellent service!
350,641,PayPal,5,Terrible experience...
351,779,Credit Card,5,Excellent service!
352,988,Debit Card,4,Excellent service!
353,953,Debit Card,4,Average quality.
354,473,PayPal,1,Terrible experience...
355,946,Credit Card,1,Average quality.
356,151,Debit Card,3,Average quality.
357,415,Debit Card,3,Average quality.
358,990,PayPal,5,Excellent service!
359,298,Debit Card,5,Terrible experience...
360,611,Credit Card,2,Terrible experience...
361,263,PayPal,2,Average quality.
362,764,PayPal,1,Excellent service!
363,144,Credit Card,3,Terrible experience...
364,346,PayPal,1,Terrible experience...
365,624,Debit Card,1,Average quality.
366,572,Debit Card,3,Excellent service!
367,881,Credit Card,2,Average quality.
368,2,Debit Card,3,Terrible experience...
369,897,Credit Card,4,Excellent service!
370,304,Credit Card,4,Average quality.
371,254,Debit Card,4,Terrible experience...
372,652,Credit Card,5,Average quality.
373,453,Debit Card,2,Average quality.
374,37,PayPal,2,Average quality.
375,160,PayPal,5,Excellent service!
376,9,Credit Card,1,Terrible experience...
377,233,Debit Card,4,Terrible experience...
378,99,Debit Card,4,Terrible experience...
379,659,PayPal,1,Terrible experience...
380,816,PayPal,3,Excellent service!
381,208,Debit Card,3,Average quality.
382,131,Credit Card,2,Terrible experience...
383,404,PayPal,5,Excellent service!
384,152,Credit Card,2,Average quality.
385,54,Credit Card,3,Excellent service!
386,120,PayPal,1,Excellent service!
387,673,Credit Card,2,Terrible experience...
388,920,Credit Card,4,Terrible experience...
389,628,Debit Card,4,Average quality.
390,587,Credit Card,1,Average quality.
391,625,Debit Card,3,Terrible experience...
392,968,PayPal,4,Excellent service!
393,420,PayPal,4,Terrible experience...
394,422,Debit Card,5,Average quality.
395,104,PayPal,2,Excellent service!
396,852,Credit Card,3,Excellent service!
397,254,Credit Card,2,Excellent service!
398,227,Credit Card,3,Terrible experience...
399,112,PayPal,4,Terrible experience...
400,510,Credit Card,5,Average quality.
401,473,PayPal,2,Excellent service!
402,99,Credit Card,4,Excellent service!
403,153,Debit Card,3,Terrible experience...
404,861,PayPal,2,Average quality.
405,914,PayPal,2,Average quality.
406,896,Credit Card,4,Excellent service!
407,878,PayPal,2,Terrible experience...
408,338,PayPal,5,Excellent service!
409,706,Debit Card,5,Terrible experience...
410,822,Debit Card,4,Average quality.
411,163,Credit Card,3,Excellent service!
412,720,Debit Card,4,Excellent service!
413,957,Credit Card,5,Excellent service!
414,681,Credit Card,1,Average quality.
415,996,Credit Card,1,Excellent service!
416,161,PayPal,2,Average quality.
417,580,Debit Card,2,Terrible experience...
418,801,Credit Card,1,Average quality.
419,398,Debit Card,5,Terrible experience...
420,277,Credit Card,2,Average quality.
421,816,Debit Card,4,Average quality.
422,916,Debit Card,4,Excellent service!
423,504,Credit Card,5,Average quality.
424,896,PayPal,2,Excellent service!
425,392,Debit Card,4,Terrible experience...
426,135,PayPal,2,Terrible experience...
427,195,PayPal,2,Excellent service!
428,401,Credit Card,4,Terrible experience...
429,640,Credit Card,1,Average quality.
430,33,Credit Card,4,Excellent service!
431,688,Debit Card,5,Excellent service!
432,460,Credit Card,3,Excellent service!
433,955,Credit Card,4,Terrible experience...
434,883,Debit Card,2,Terrible experience...
435,470,Debit Card,2,Average quality.
436,375,Credit Card,4,Average quality.
437,22,Credit Card,3,Excellent service!
438,750,Credit Card,4,Average quality.
439,670,Credit Card,3,Terrible experience...
440,38,PayPal,3,Average quality.
441,230,PayPal,5,Terrible experience...
442,365,Credit Card,2,Average quality.
443,563,PayPal,2,Terrible experience...
444,438,Debit Card,3,Terrible experience...
445,776,PayPal,2,Average quality.
446,283,PayPal,1,Average quality.
447,27,Credit Card,3,Terrible experience...
448,226,PayPal,2,Excellent service!
449,277,PayPal,1,Average quality.
450,798,PayPal,5,Terrible experience...
451,609,PayPal,2,Average quality.
452,284,Debit Card,1,Average quality.
453,879,Credit Card,4,Average quality.
454,960,Credit Card,4,Average quality.
455,481,Debit Card,1,Average quality.
456,453,PayPal,3,Excellent service!
457,829,Debit Card,3,Excellent service!
458,816,PayPal,2,Excellent service!
459,659,Debit Card,4,Terrible experience...
460,516,Credit Card,3,Excellent service!
461,547,Credit Card,3,Excellent service!
462,192,Credit Card,4,Terrible experience...
463,49,PayPal,5,Excellent service!
464,512,PayPal,3,Average quality.
465,17,Debit Card,1,Excellent service!
466,172,Debit Card,2,Excellent service!
467,220,Credit Card,3,Excellent service!
468,158,PayPal,3,Average quality.
469,477,Debit Card,5,Average quality.
470,46,PayPal,1,Average quality.
471,373,PayPal,2,Average quality.
472,518,Credit Card,3,Terrible experience...
473,99,Credit Card,2,Average quality.
474,892,PayPal,4,Average quality.
475,745,PayPal,3,Average quality.
476,37,PayPal,3,Average quality.
477,280,PayPal,4,Terrible experience...
478,349,Credit Card,5,Excellent service!
479,497,Debit Card,3,Excellent service!
480,302,Credit Card,2,Average quality.
481,181,Debit Card,1,Average quality.
482,607,PayPal,2,Average quality.
483,99,Debit Card,5,Excellent service!
484,700,Credit Card,1,Excellent service!
485,993,Credit Card,2,Average quality.
486,116,PayPal,2,Excellent service!
487,191,Credit Card,4,Terrible experience...
488,253,PayPal,5,Average quality.
489,981,Credit Card,4,Average quality.
490,928,Credit Card,1,Terrible experience...
491,983,PayPal,4,Terrible experience...
492,161,Debit Card,5,Excellent service!
493,256,Credit Card,3,Terrible experience...
494,323,Debit Card,3,Average quality.
495,128,Credit Card,1,Excellent service!
496,18,Credit Card,3,Terrible experience...
497,793,Credit Card,4,Excellent service!
498,735,Credit Card,1,Excellent service!
499,566,Debit Card,5,Excellent service!
500,570,Debit Card,1,Excellent service!
501,323,Credit Card,1,Terrible experience...
502,872,Credit Card,2,Average quality.
503,686,Debit Card,2,Average quality.
504,792,PayPal,1,Terrible experience...
505,626,PayPal,3,Average quality.
506,288,Debit Card,2,Excellent service!
507,943,Credit Card,5,Excellent service!
508,854,Credit Card,4,Excellent service!
509,663,PayPal,2,Terrible experience...
510,962,PayPal,1,Excellent service!
511,639,Debit Card,3,Excellent service!
512,155,PayPal,4,Terrible experience...
513,490,Debit Card,2,Excellent service!
514,386,PayPal,3,Excellent service!
515,986,PayPal,3,Average quality.
516,785,PayPal,3,Terrible experience...
517,104,Credit Card,1,Excellent service!
518,929,Credit Card,5,Excellent service!
519,393,Credit Card,3,Excellent service!
520,811,PayPal,4,Excellent service!
521,246,Debit Card,2,Average quality.
522,176,Debit Card,4,Average quality.
523,39,Debit Card,1,Average quality.
524,477,Debit Card,1,Average quality.
525,682,Credit Card,4,Terrible experience...
526,759,Credit Card,5,Excellent service!
527,538,PayPal,1,Average quality.
528,867,PayPal,1,Excellent service!
529,818,Debit Card,4,Terrible experience...
530,921,Credit Card,1,Excellent service!
531,408,Debit Card,5,Excellent service!
532,525,PayPal,5,Average quality.
533,828,PayPal,5,Average quality.
534,506,Debit Card,2,Terrible experience...
535,903,PayPal,5,Excellent service!
536,825,Debit Card,5,Average quality.
537,36,Credit Card,2,Average quality.
538,685,Debit Card,3,Average quality.
539,20,Credit Card,1,Terrible experience...
540,321,Credit Card,5,Excellent service!
541,776,PayPal,1,Average quality.
542,512,PayPal,4,Excellent service!
543,400,PayPal,1,Terrible experience...
544,654,Debit Card,2,Excellent service!
545,972,Debit Card,1,Average quality.
546,883,PayPal,1,Excellent service!
547,471,Debit Card,1,Excellent service!
548,143,PayPal,3,Terrible experience...
549,92,Debit Card,3,Terrible experience...
550,354,Credit Card,4,Excellent service!
551,834,Credit Card,2,Excellent service!
552,800,PayPal,1,Excellent service!
553,727,Debit Card,1,Terrible experience...
554,959,Debit Card,1,Terrible experience...
555,854,Credit Card,1,Excellent service!
556,51,Credit Card,3,Terrible experience...
557,665,PayPal,4,Average quality.
558,698,Credit Card,5,Terrible experience...
559,575,PayPal,2,Terrible experience...
560,190,Credit Card,1,Terrible experience...
561,125,Credit Card,4,Average quality.
562,150,Debit Card,5,Average quality.
563,314,Credit Card,4,Average quality.
564,570,Credit Card,3,Excellent service!
565,342,PayPal,5,Excellent service!
566,305,Credit Card,4,Average quality.
567,692,PayPal,3,Excellent service!
568,682,Credit Card,4,Excellent service!
569,838,Credit Card,4,Excellent service!
570,783,PayPal,5,Average quality.
571,54,Debit Card,3,Terrible experience...
572,444,PayPal,1,Average quality.
573,613,PayPal,2,Average quality.
574,993,PayPal,5,Excellent service!
575,264,Debit Card,3,Excellent service!
576,53,Credit Card,4,Terrible experience...
577,572,PayPal,3,Terrible experience...
578,620,PayPal,2,Terrible experience...
579,5,Debit Card,2,Terrible experience...
580,103,PayPal,1,Average quality.
581,196,Credit Card,1,Terrible experience...
582,774,Debit Card,2,Average quality.
583,877,Credit Card,5,Excellent service!
584,992,Credit Card,5,Terrible experience...
585,884,Debit Card,4,Excellent service!
586,350,PayPal,1,Excellent service!
587,47,Credit Card,4,Average quality.
588,867,Credit Card,1,Terrible experience...
589,823,Credit Card,2,Average quality.
590,936,Credit Card,5,Excellent service!
591,820,Debit Card,5,Terrible experience...
592,656,Debit Card,2,Excellent service!
593,269,Credit Card,4,Excellent service!
594,370,PayPal,4,Terrible experience...
595,636,Credit Card,3,Terrible experience...
596,106,PayPal,1,Terrible experience...
597,670,Credit Card,4,Average quality.
598,659,PayPal,2,Average quality.
599,657,Credit Card,4,Excellent service!
600,120,PayPal,5,Terrible experience...
601,831,Credit Card,1,Excellent service!
602,787,Credit Card,3,Excellent service!
603,604,PayPal,1,Excellent service!
604,58,Debit Card,5,Excellent service!
605,951,PayPal,5,Excellent service!
606,346,Debit Card,5,Terrible experience...
607,741,Credit Card,5,Average quality.
608,474,PayPal,2,Terrible experience...
609,117,PayPal,3,Terrible experience...
610,830,PayPal,5,Terrible experience...
611,791,Debit Card,5,Average quality.
612,127,Debit Card,4,Average quality.
613,393,Credit Card,3,Average quality.
614,908,Debit Card,1,Terrible experience...
615,641,Debit Card,3,Average quality.
616,58,Credit Card,3,Excellent service!
617,634,PayPal,3,Average quality.
618,513,PayPal,5,Terrible experience...
619,751,Credit Card,5,Terrible experience...
620,802,PayPal,2,Excellent service!
621,96,Debit Card,1,Average quality.
622,638,Credit Card,4,Average quality.
623,118,Credit Card,3,Excellent service!
624,560,Credit Card,1,Terrible experience...
625,601,PayPal,1,Terrible experience...
626,488,Credit Card,2,Average quality.
627,237,Credit Card,4,Average quality.
628,885,Credit Card,3,Average quality.
629,897,PayPal,4,Average quality.
630,272,Debit Card,2,Average quality.
631,189,Credit Card,5,Terrible experience...
632,999,Debit Card,1,Terrible experience...
633,704,PayPal,3,Terrible experience...
634,447,PayPal,5,Terrible experience...
635,581,PayPal,2,Excellent service!
636,790,PayPal,4,Terrible experience...
637,861,Debit Card,1,Excellent service!
638,247,Credit Card,3,Terrible experience...
639,963,PayPal,5,Average quality.
640,76,PayPal,5,Average quality.
641,154,Debit Card,1,Average quality.
642,656,Debit Card,4,Excellent service!
643,435,PayPal,2,Terrible experience...
644,997,Credit Card,4,Terrible experience...
645,86,Credit Card,4,Excellent service!
646,697,PayPal,4,Excellent service!
647,285,Debit Card,1,Excellent service!
648,974,PayPal,1,Excellent service!
649,220,PayPal,2,Excellent service!
650,69,Debit Card,4,Average quality.
651,47,PayPal,1,Terrible experience...
652,94,PayPal,2,Excellent service!
653,750,PayPal,2,Average quality.
654,958,Debit Card,4,Excellent service!
655,453,Credit Card,3,Average quality.
656,204,Credit Card,4,Excellent service!
657,912,Debit Card,3,Terrible experience...
658,218,Credit Card,2,Excellent service!
659,474,PayPal,1,Excellent service!
660,432,Credit Card,5,Terrible experience...
661,341,PayPal,2,Terrible experience...
662,551,Credit Card,1,Excellent service!
663,612,Debit Card,2,Terrible experience...
664,289,Credit Card,4,Terrible experience...
665,254,Credit Card,3,Average quality.
666,734,Credit Card,2,Terrible experience...
667,357,Debit Card,1,Terrible experience...
668,23,Credit Card,4,Excellent service!
669,762,Debit Card,5,Excellent service!
670,522,PayPal,4,Average quality.
671,758,Credit Card,3,Excellent service!
672,837,Debit Card,4,Terrible experience...
673,100,Debit Card,5,Terrible experience...
674,802,Credit Card,1,Terrible experience...
675,180,PayPal,2,Excellent service!
676,223,Debit Card,3,Terrible experience...
677,906,Credit Card,5,Terrible experience...
678,762,PayPal,3,Average quality.
679,659,Debit Card,4,Average quality.
680,442,Debit Card,3,Average quality.
681,608,PayPal,5,Excellent service!
682,769,PayPal,2,Terrible experience...
683,325,Credit Card,2,Terrible experience...
684,516,Credit Card,3,Terrible experience...
685,16,Debit Card,1,Average quality.
686,792,PayPal,3,Terrible experience...
687,336,PayPal,4,Terrible experience...
688,759,PayPal,2,Terrible experience...
689,258,Debit Card,2,Terrible experience...
690,497,PayPal,2,Terrible experience...
691,988,PayPal,1,Excellent service!
692,896,Debit Card,1,Terrible experience...
693,160,Credit Card,5,Excellent service!
694,475,Credit Card,3,Terrible experience...
695,852,Debit Card,3,Excellent service!
696,664,PayPal,4,Terrible experience...
697,908,Debit Card,2,Terrible experience...
698,690,Credit Card,1,Terrible experience...
699,675,Credit Card,4,Terrible experience...
700,380,Debit Card,4,Average quality.
701,545,Debit Card,1,Terrible experience...
702,929,Credit Card,3,Excellent service!
703,957,Debit Card,2,Average quality.
704,691,Credit Card,3,Average quality.
705,427,Debit Card,4,Terrible experience...
706,613,Debit Card,2,Excellent service!
707,268,Debit Card,5,Excellent service!
708,835,Credit Card,4,Average quality.
709,577,Debit Card,3,Excellent service!
710,417,Credit Card,3,Terrible experience...
711,168,Credit Card,3,Terrible experience...
712,842,Debit Card,1,Terrible experience...
713,43,Debit Card,4,Terrible experience...
714,556,Credit Card,2,Terrible experience...
715,285,Credit Card,3,Average quality.
716,397,PayPal,3,Terrible experience...
717,12,Credit Card,1,Terrible experience...
718,607,PayPal,2,Average quality.
719,302,PayPal,4,Average quality.
720,898,PayPal,5,Average quality.
721,253,Debit Card,1,Excellent service!
722,499,Debit Card,4,Excellent service!
723,754,Credit Card,5,Terrible experience...
724,35,PayPal,3,Terrible experience...
725,727,Debit Card,3,Terrible experience...
726,849,Debit Card,2,Excellent service!
727,90,Debit Card,5,Terrible experience...
728,776,Debit Card,3,Terrible experience...
729,605,Debit Card,3,Excellent service!
730,922,PayPal,2,Average quality.
731,970,PayPal,4,Excellent service!
732,602,PayPal,3,Terrible experience...
733,418,PayPal,1,Excellent service!
734,115,Credit Card,1,Average quality.
735,617,PayPal,4,Average quality.
736,903,Debit Card,5,Average quality.
737,196,PayPal,2,Average quality.
738,826,Credit Card,1,Average quality.
739,501,Debit Card,1,Average quality.
740,626,PayPal,4,Terrible experience...
741,493,PayPal,5,Terrible experience...
742,75,PayPal,5,Excellent service!
743,413,Debit Card,4,Terrible experience...
744,376,Debit Card,1,Average quality.
745,420,Credit Card,2,Terrible experience...
746,729,Debit Card,1,Excellent service!
