customer_id,transaction_id,amount,payment_method,age,gender,income
654,1145,583,Credit Card,29,Male,123409
654,3577,69,Debit Card,29,Male,123409
654,4092,88,PayPal,29,Male,123409
804,25,444,PayPal,62,Male,83646
804,361,566,PayPal,62,Male,83646
804,2004,377,PayPal,62,Male,83646
804,2557,666,PayPal,62,Male,83646
804,3323,734,PayPal,62,Male,83646
804,3605,598,PayPal,62,Male,83646
804,4581,512,Debit Card,62,Male,83646
804,4587,509,Credit Card,62,Male,83646
481,26,789,Credit Card,36,Female,55046
481,611,540,Credit Card,36,Female,55046
481,2797,434,Credit Card,36,Female,55046
481,3129,395,PayPal,36,Female,55046
481,3898,741,Credit Card,36,Female,55046
481,3977,629,Credit Card,36,Female,55046
481,3997,403,PayPal,36,Female,55046
481,4152,807,Credit Card,36,Female,55046
663,27,216,PayPal,59,Male,92460
663,142,858,Credit Card,59,Male,92460
663,436,913,PayPal,59,Male,92460
663,4183,241,Debit Card,59,Male,92460
663,4413,666,Debit Card,59,Male,92460
663,4595,688,Debit Card,59,Male,92460
663,4865,177,PayPal,59,Male,92460
114,28,448,Credit Card,25,Female,142901
114,1706,666,Credit Card,25,Female,142901
114,2368,413,Credit Card,25,Female,142901
114,3482,542,PayPal,25,Female,142901
749,29,983,Credit Card,37,Male,98714
749,1270,139,PayPal,37,Male,98714
749,1998,755,Debit Card,37,Male,98714
749,2387,389,Debit Card,37,Male,98714
749,3029,665,Debit Card,37,Male,98714
749,4093,757,Debit Card,37,Male,98714
578,30,788,Debit Card,63,Female,134474
578,79,127,Credit Card,63,Female,134474
578,4140,173,Debit Card,63,Female,134474
578,4811,506,Credit Card,63,Female,134474
361,31,675,Credit Card,51,Female,56877
361,1241,447,PayPal,51,Female,56877
361,2192,614,Credit Card,51,Female,56877
361,2731,775,PayPal,51,Female,56877
361,4776,582,PayPal,51,Female,56877
341,32,51,Debit Card,37,Female,45683
341,1288,618,Debit Card,37,Female,45683
341,1576,628,PayPal,37,Female,45683
341,2859,11,PayPal,37,Female,45683
341,2997,606,Credit Card,37,Female,45683
341,4718,155,Credit Card,37,Female,45683
770,33,420,PayPal,45,Male,57650
770,379,417,PayPal,45,Male,57650
770,450,376,Credit Card,45,Male,57650
770,1375,898,PayPal,45,Male,57650
770,2037,60,PayPal,45,Male,57650
770,2952,65,Credit Card,45,Male,57650
987,34,532,Debit Card,62,Female,49328
987,631,747,PayPal,62,Female,49328
987,738,817,Debit Card,62,Female,49328
987,1520,291,Debit Card,62,Female,49328
987,1931,377,Credit Card,62,Female,49328
987,2777,40,Debit Card,62,Female,49328
987,4992,435,Credit Card,62,Female,49328
761,35,815,PayPal,28,Male,76088
761,1604,849,Debit Card,28,Male,76088
761,1665,749,Credit Card,28,Male,76088
761,2469,482,Debit Card,28,Male,76088
761,3803,158,Debit Card,28,Male,76088
761,4255,213,Credit Card,28,Male,76088
969,36,619,Credit Card,34,Male,64843
969,397,503,PayPal,34,Male,64843
449,37,436,PayPal,68,Female,138402
449,303,94,Debit Card,68,Female,138402
449,492,708,PayPal,68,Female,138402
449,1260,106,Debit Card,68,Female,138402
449,2829,51,PayPal,68,Female,138402
449,3135,700,Debit Card,68,Female,138402
449,4212,722,Credit Card,68,Female,138402
843,38,284,PayPal,31,Male,145511
843,1382,126,PayPal,31,Male,145511
843,3264,278,Debit Card,31,Male,145511
843,3970,50,Credit Card,31,Male,145511
835,39,457,Credit Card,40,Male,57384
835,1712,275,PayPal,40,Male,57384
835,2345,209,PayPal,40,Male,57384
835,2451,732,PayPal,40,Male,57384
835,2791,374,Credit Card,40,Male,57384
835,4109,414,Credit Card,40,Male,57384
835,4441,758,Credit Card,40,Male,57384
180,40,911,PayPal,59,Male,73331
180,3952,389,PayPal,59,Male,73331
180,4190,301,Debit Card,59,Male,73331
180,4600,237,PayPal,59,Male,73331
702,41,951,Credit Card,24,Female,55643
702,1092,835,Credit Card,24,Female,55643
702,2502,737,Debit Card,24,Female,55643
702,3872,767,Debit Card,24,Female,55643
702,3990,776,Debit Card,24,Female,55643
702,4268,644,PayPal,24,Female,55643
407,42,893,Debit Card,64,Female,143782
407,459,504,PayPal,64,Female,143782
407,1081,198,Credit Card,64,Female,143782
407,1660,529,Debit Card,64,Female,143782
407,2570,610,Credit Card,64,Female,143782
407,4004,475,Credit Card,64,Female,143782
407,4302,411,Credit Card,64,Female,143782
666,43,751,Credit Card,48,Female,149612
666,754,192,PayPal,48,Female,149612
666,969,936,Credit Card,48,Female,149612
666,1515,599,PayPal,48,Female,149612
666,1645,21,PayPal,48,Female,149612
196,44,378,Credit Card,69,Female,104976
196,735,581,PayPal,69,Female,104976
196,965,91,Debit Card,69,Female,104976
196,1469,138,Debit Card,69,Female,104976
196,3014,874,Credit Card,69,Female,104976
466,45,947,PayPal,21,Male,108397
466,83,639,Debit Card,21,Male,108397
466,449,859,Debit Card,21,Male,108397
466,1864,769,Debit Card,21,Male,108397
311,46,229,Debit Card,50,Male,43398
311,1412,347,PayPal,50,Male,43398
311,2258,557,Debit Card,50,Male,43398
311,3030,397,PayPal,50,Male,43398
311,4200,293,Credit Card,50,Male,43398
311,4618,88,Credit Card,50,Male,43398
262,47,586,Credit Card,20,Male,103309
262,1246,220,PayPal,20,Male,103309
262,1253,419,PayPal,20,Male,103309
262,1524,945,Debit Card,20,Male,103309
262,2584,795,Credit Card,20,Male,103309
262,2847,134,PayPal,20,Male,103309
262,4543,613,PayPal,20,Male,103309
419,48,876,Debit Card,60,Female,145659
419,1409,166,Debit Card,60,Female,145659
419,1482,921,Credit Card,60,Female,145659
419,2613,836,Credit Card,60,Female,145659
419,2856,515,Debit Card,60,Female,145659
419,4331,510,Debit Card,60,Female,145659
419,4333,591,PayPal,60,Female,145659
939,50,337,PayPal,68,Male,30756
939,2769,968,Debit Card,68,Male,30756
939,3510,930,PayPal,68,Male,30756
143,51,452,Credit Card,31,Female,64569
143,1057,115,Credit Card,31,Female,64569
143,2144,829,Credit Card,31,Female,64569
143,3950,604,Debit Card,31,Female,64569
143,4156,189,Debit Card,31,Female,64569
342,52,61,PayPal,25,Male,33629
342,706,626,Debit Card,25,Male,33629
342,2486,598,Credit Card,25,Male,33629
342,4007,779,Debit Card,25,Male,33629
316,53,895,Credit Card,25,Male,147118
316,4470,456,PayPal,25,Male,147118
316,4703,557,Debit Card,25,Male,147118
316,4761,675,Credit Card,25,Male,147118
101,54,952,Debit Card,62,Female,103807
101,179,301,PayPal,62,Female,103807
101,305,772,Credit Card,62,Female,103807
101,537,948,PayPal,62,Female,103807
101,1942,114,PayPal,62,Female,103807
101,1961,872,PayPal,62,Female,103807
101,3718,146,Credit Card,62,Female,103807
244,55,385,Credit Card,21,Female,141787
244,4042,244,PayPal,21,Female,141787
490,56,272,Credit Card,29,Male,112152
490,784,393,Credit Card,29,Male,112152
490,2933,547,Credit Card,29,Male,112152
490,3324,242,Credit Card,29,Male,112152
490,3759,223,Credit Card,29,Male,112152
490,4257,247,PayPal,29,Male,112152
490,4501,852,Credit Card,29,Male,112152
490,4684,882,Debit Card,29,Male,112152
490,4753,603,Debit Card,29,Male,112152
12,57,276,Debit Card,28,Male,31303
12,122,88,PayPal,28,Male,31303
12,521,849,Debit Card,28,Male,31303
12,1865,648,Debit Card,28,Male,31303
12,2095,429,Credit Card,28,Male,31303
12,2679,456,Credit Card,28,Male,31303
12,4572,614,Credit Card,28,Male,31303
12,4751,920,PayPal,28,Male,31303
12,4797,872,PayPal,28,Male,31303
239,58,368,Debit Card,61,Male,54531
239,3069,269,PayPal,61,Male,54531
239,3146,818,PayPal,61,Male,54531
239,3369,533,PayPal,61,Male,54531
239,3633,532,Credit Card,61,Male,54531
239,4284,626,Debit Card,61,Male,54531
239,4548,746,Debit Card,61,Male,54531
239,4655,66,Debit Card,61,Male,54531
561,59,326,Credit Card,50,Female,21058
561,360,460,PayPal,50,Female,21058
561,834,858,Credit Card,50,Female,21058
561,1877,586,Credit Card,50,Female,21058
561,2591,488,Debit Card,50,Female,21058
561,3275,803,PayPal,50,Female,21058
42,60,333,PayPal,54,Male,83620
42,3989,156,Credit Card,54,Male,83620
678,61,930,Credit Card,61,Male,84965
678,1400,505,Debit Card,61,Male,84965
678,3371,306,PayPal,61,Male,84965
678,3535,955,Debit Card,61,Male,84965
678,4264,371,PayPal,61,Male,84965
678,4765,819,PayPal,61,Male,84965
594,62,917,Debit Card,24,Female,32115
594,253,432,Debit Card,24,Female,32115
594,582,669,Credit Card,24,Female,32115
594,1360,126,Debit Card,24,Female,32115
429,63,675,PayPal,30,Male,85128
429,1434,101,Credit Card,30,Male,85128
429,3210,551,Debit Card,30,Male,85128
429,3293,667,PayPal,30,Male,85128
429,4279,913,PayPal,30,Male,85128
429,4371,833,Debit Card,30,Male,85128
803,64,879,Debit Card,67,Male,92588
803,2760,785,PayPal,67,Male,92588
803,3010,185,PayPal,67,Male,92588
803,3465,615,Debit Card,67,Male,92588
803,3476,626,Debit Card,67,Male,92588
158,65,887,Debit Card,49,Male,37482
216,66,661,PayPal,69,Male,105553
216,1659,11,PayPal,69,Male,105553
216,2177,247,Credit Card,69,Male,105553
670,67,948,Debit Card,46,Female,45923
670,581,352,Debit Card,46,Female,45923
670,949,710,Debit Card,46,Female,45923
670,1172,287,Credit Card,46,Female,45923
670,1346,280,Debit Card,46,Female,45923
670,1824,707,Credit Card,46,Female,45923
670,4141,560,Debit Card,46,Female,45923
462,68,572,Debit Card,61,Female,132214
462,2411,323,Credit Card,61,Female,132214
462,3480,880,Credit Card,61,Female,132214
462,4320,866,Debit Card,61,Female,132214
462,4876,722,Debit Card,61,Female,132214
134,69,638,Debit Card,61,Female,64064
134,2082,537,Credit Card,61,Female,64064
134,2792,895,PayPal,61,Female,64064
67,70,430,Debit Card,67,Female,107263
848,71,55,Debit Card,62,Female,147834
848,715,126,Debit Card,62,Female,147834
848,912,125,PayPal,62,Female,147834
848,2275,155,Credit Card,62,Female,147834
848,3042,41,Credit Card,62,Female,147834
848,4852,100,PayPal,62,Female,147834
7,72,830,Debit Card,38,Male,22396
7,1468,839,Credit Card,38,Male,22396
7,2833,67,PayPal,38,Male,22396
7,3165,994,Credit Card,38,Male,22396
948,73,609,Debit Card,23,Male,93794
948,4159,244,Debit Card,23,Male,93794
948,4646,21,Credit Card,23,Male,93794
526,74,729,Debit Card,43,Female,102495
526,201,560,Debit Card,43,Female,102495
526,568,356,Debit Card,43,Female,102495
526,2718,396,Debit Card,43,Female,102495
526,4283,870,Credit Card,43,Female,102495
526,4319,401,Credit Card,43,Female,102495
73,75,898,Debit Card,21,Male,54832
73,1122,700,Debit Card,21,Male,54832
73,1436,347,PayPal,21,Male,54832
73,2581,635,Credit Card,21,Male,54832
73,2796,416,Credit Card,21,Male,54832
73,2841,608,PayPal,21,Male,54832
73,2868,586,Debit Card,21,Male,54832
73,2935,878,Credit Card,21,Male,54832
73,3189,459,PayPal,21,Male,54832
73,3642,601,Credit Card,21,Male,54832
73,4102,742,PayPal,21,Male,54832
73,4799,470,Credit Card,21,Male,54832
73,4986,479,Debit Card,21,Male,54832
399,76,278,Credit Card,59,Female,28946
399,329,260,Debit Card,59,Female,28946
399,632,230,PayPal,59,Female,28946
399,742,160,PayPal,59,Female,28946
399,1661,771,PayPal,59,Female,28946
399,2416,792,Credit Card,59,Female,28946
399,3776,448,Credit Card,59,Female,28946
399,4326,424,Debit Card,59,Female,28946
405,77,610,Credit Card,67,Male,131822
405,211,287,PayPal,67,Male,131822
405,503,620,PayPal,67,Male,131822
405,554,949,Debit Card,67,Male,131822
405,2410,54,Credit Card,67,Male,131822
405,3412,343,Debit Card,67,Male,131822
405,4260,761,Credit Card,67,Male,131822
405,4519,306,PayPal,67,Male,131822
675,78,390,Debit Card,29,Male,87203
675,1007,491,Credit Card,29,Male,87203
675,2043,389,PayPal,29,Male,87203
675,2350,398,Debit Card,29,Male,87203
675,3414,802,PayPal,29,Male,87203
675,3458,620,PayPal,29,Male,87203
675,4295,944,PayPal,29,Male,87203
675,4337,658,PayPal,29,Male,87203
675,4978,675,Credit Card,29,Male,87203
859,80,575,PayPal,56,Male,85681
859,377,434,Credit Card,56,Male,85681
859,1027,884,Credit Card,56,Male,85681
859,1343,123,Credit Card,56,Male,85681
859,3269,874,Debit Card,56,Male,85681
859,3457,78,Credit Card,56,Male,85681
130,81,962,Credit Card,40,Male,47083
130,140,528,Debit Card,40,Male,47083
130,273,144,Credit Card,40,Male,47083
130,4701,325,PayPal,40,Male,47083
931,82,125,Debit Card,42,Male,88008
931,682,163,Credit Card,42,Male,88008
931,1028,621,Debit Card,42,Male,88008
931,3643,16,Debit Card,42,Male,88008
206,84,269,Credit Card,50,Female,41563
206,2508,818,PayPal,50,Female,41563
206,2664,212,Credit Card,50,Female,41563
206,3110,936,Credit Card,50,Female,41563
206,3254,654,PayPal,50,Female,41563
206,3858,271,Credit Card,50,Female,41563
206,4850,976,Credit Card,50,Female,41563
206,4906,709,PayPal,50,Female,41563
788,85,84,Debit Card,45,Male,84157
788,1220,823,PayPal,45,Male,84157
788,4808,431,Debit Card,45,Male,84157
768,87,314,PayPal,29,Male,134828
768,195,772,PayPal,29,Male,134828
768,243,551,Credit Card,29,Male,134828
768,352,913,Credit Card,29,Male,134828
768,1971,972,Debit Card,29,Male,134828
768,3442,765,Debit Card,29,Male,134828
768,3489,29,PayPal,29,Male,134828
768,3863,897,Credit Card,29,Male,134828
768,4904,248,Debit Card,29,Male,134828
266,88,16,Debit Card,43,Female,46143
266,1384,377,Credit Card,43,Female,46143
266,2376,10,PayPal,43,Female,46143
266,2813,612,PayPal,43,Female,46143
266,3743,536,Credit Card,43,Female,46143
537,89,375,PayPal,53,Female,112464
537,117,759,PayPal,53,Female,112464
537,962,898,Credit Card,53,Female,112464
537,2504,93,Credit Card,53,Female,112464
537,3175,524,Credit Card,53,Female,112464
537,3500,690,Credit Card,53,Female,112464
537,4094,904,Credit Card,53,Female,112464
962,90,643,PayPal,43,Male,138562
962,356,184,Credit Card,43,Male,138562
962,1354,724,Credit Card,43,Male,138562
962,3208,390,Debit Card,43,Male,138562
962,4037,758,PayPal,43,Male,138562
962,4388,876,Debit Card,43,Male,138562
962,4757,523,Credit Card,43,Male,138562
962,4934,606,Credit Card,43,Male,138562
793,91,532,Credit Card,52,Male,43171
793,966,511,PayPal,52,Male,43171
793,1950,664,Debit Card,52,Male,43171
793,3831,235,Debit Card,52,Male,43171
793,4767,404,PayPal,52,Male,43171
253,92,357,PayPal,39,Male,49759
253,154,829,Debit Card,39,Male,49759
253,3462,936,PayPal,39,Male,49759
253,4578,518,PayPal,39,Male,49759
822,93,447,Credit Card,58,Female,62668
822,101,322,Credit Card,58,Female,62668
822,551,928,Credit Card,58,Female,62668
822,1295,41,Debit Card,58,Female,62668
822,1624,666,PayPal,58,Female,62668
822,1990,216,Credit Card,58,Female,62668
822,2013,99,Debit Card,58,Female,62668
822,2722,710,Debit Card,58,Female,62668
822,2982,473,PayPal,58,Female,62668
822,3187,725,PayPal,58,Female,62668
822,4014,230,Credit Card,58,Female,62668
822,4288,821,Credit Card,58,Female,62668
289,94,224,Debit Card,24,Male,116347
289,787,333,Debit Card,24,Male,116347
289,1029,351,PayPal,24,Male,116347
289,2711,685,Debit Card,24,Male,116347
289,3092,121,Credit Card,24,Male,116347
289,3127,914,Credit Card,24,Male,116347
164,95,438,Credit Card,47,Female,72307
164,234,721,Credit Card,47,Female,72307
164,893,894,Credit Card,47,Female,72307
164,1616,373,Credit Card,47,Female,72307
164,2445,732,Debit Card,47,Female,72307
164,2836,546,Debit Card,47,Female,72307
164,2917,406,PayPal,47,Female,72307
164,4353,699,Credit Card,47,Female,72307
164,4624,567,Credit Card,47,Female,72307
164,4860,349,Debit Card,47,Female,72307
95,96,800,Debit Card,43,Male,111357
95,2652,188,Credit Card,43,Male,111357
782,97,507,Debit Card,44,Female,33467
782,854,193,PayPal,44,Female,33467
782,4597,170,PayPal,44,Female,33467
833,98,549,Debit Card,55,Female,114088
833,1411,141,PayPal,55,Female,114088
833,1472,275,Debit Card,55,Female,114088
833,1500,445,PayPal,55,Female,114088
833,2061,123,Debit Card,55,Female,114088
833,2172,542,Credit Card,55,Female,114088
833,2288,650,PayPal,55,Female,114088
833,2553,930,PayPal,55,Female,114088
833,2926,976,PayPal,55,Female,114088
833,3192,363,Credit Card,55,Female,114088
833,3562,813,Debit Card,55,Female,114088
833,4254,819,PayPal,55,Female,114088
110,99,756,Debit Card,41,Female,83888
110,3702,451,Credit Card,41,Female,83888
110,4916,598,Credit Card,41,Female,83888
336,100,376,Debit Card,21,Male,140071
336,572,834,PayPal,21,Male,140071
336,2636,462,Credit Card,21,Male,140071
336,3196,109,PayPal,21,Male,140071
336,3352,624,Credit Card,21,Male,140071
336,4791,279,PayPal,21,Male,140071
238,102,547,Debit Card,19,Female,71027
238,434,332,PayPal,19,Female,71027
238,902,748,PayPal,19,Female,71027
238,3746,622,Credit Card,19,Female,71027
238,3936,987,Credit Card,19,Female,71027
381,103,930,PayPal,52,Female,22356
381,541,167,Credit Card,52,Female,22356
381,856,231,Debit Card,52,Female,22356
381,4345,201,Debit Card,52,Female,22356
381,4602,158,Credit Card,52,Female,22356
381,4769,299,Debit Card,52,Female,22356
436,104,63,PayPal,63,Female,63585
436,258,768,Debit Card,63,Female,63585
436,328,339,Credit Card,63,Female,63585
436,454,822,Credit Card,63,Female,63585
436,875,388,Credit Card,63,Female,63585
436,2545,818,Credit Card,63,Female,63585
436,2889,854,Debit Card,63,Female,63585
436,4610,741,Credit Card,63,Female,63585
899,105,550,Debit Card,59,Male,114018
899,867,630,Credit Card,59,Male,114018
899,1112,926,Credit Card,59,Male,114018
899,1568,80,Debit Card,59,Male,114018
899,3212,619,Credit Card,59,Male,114018
899,3319,113,Credit Card,59,Male,114018
899,3691,552,Credit Card,59,Male,114018
899,4142,62,PayPal,59,Male,114018
483,106,476,PayPal,36,Male,121459
483,196,196,PayPal,36,Male,121459
483,316,274,Debit Card,36,Male,121459
483,495,549,Credit Card,36,Male,121459
483,1035,166,PayPal,36,Male,121459
483,1590,302,PayPal,36,Male,121459
483,2643,163,PayPal,36,Male,121459
483,2784,675,Credit Card,36,Male,121459
483,4539,634,Debit Card,36,Male,121459
937,107,874,Credit Card,49,Female,89249
937,510,854,Credit Card,49,Female,89249
937,1162,768,Credit Card,49,Female,89249
937,1407,23,PayPal,49,Female,89249
937,1638,223,PayPal,49,Female,89249
937,1893,470,PayPal,49,Female,89249
937,2388,917,Credit Card,49,Female,89249
937,3209,901,Debit Card,49,Female,89249
937,3876,565,Credit Card,49,Female,89249
937,4507,814,Credit Card,49,Female,89249
902,108,173,Credit Card,22,Female,108700
902,2627,932,Credit Card,22,Female,108700
902,2687,52,PayPal,22,Female,108700
902,3312,108,PayPal,22,Female,108700
902,3422,402,Debit Card,22,Female,108700
902,4416,959,Debit Card,22,Female,108700
25,109,791,Debit Card,38,Male,132992
25,1743,852,Credit Card,38,Male,132992
25,2157,455,Credit Card,38,Male,132992
25,2827,563,Debit Card,38,Male,132992
25,3186,819,Credit Card,38,Male,132992
25,4162,829,PayPal,38,Male,132992
25,4498,555,Credit Card,38,Male,132992
25,4508,602,Credit Card,38,Male,132992
653,110,343,Debit Card,52,Female,89569
653,127,627,Debit Card,52,Female,89569
653,1274,857,PayPal,52,Female,89569
653,2328,91,PayPal,52,Female,89569
653,3072,450,Debit Card,52,Female,89569
653,4273,537,PayPal,52,Female,89569
653,4638,760,Credit Card,52,Female,89569
653,4995,648,Credit Card,52,Female,89569
117,111,556,Debit Card,50,Male,134682
117,599,911,Debit Card,50,Male,134682
117,1621,531,PayPal,50,Male,134682
482,112,807,PayPal,34,Male,67064
482,1195,537,Credit Card,34,Male,67064
482,3280,675,Credit Card,34,Male,67064
392,113,357,PayPal,38,Male,134015
392,1493,170,PayPal,38,Male,134015
392,2733,132,Credit Card,38,Male,134015
392,3405,552,PayPal,38,Male,134015
917,114,282,Credit Card,60,Female,111302
917,241,775,Debit Card,60,Female,111302
917,415,667,PayPal,60,Female,111302
917,671,765,PayPal,60,Female,111302
917,752,797,Debit Card,60,Female,111302
917,1939,554,PayPal,60,Female,111302
917,2549,450,PayPal,60,Female,111302
917,2820,948,PayPal,60,Female,111302
917,3380,365,PayPal,60,Female,111302
917,3468,124,Credit Card,60,Female,111302
917,4832,563,Debit Card,60,Female,111302
994,115,972,PayPal,40,Male,101437
994,2446,334,PayPal,40,Male,101437
994,3519,214,PayPal,40,Male,101437
994,4493,907,PayPal,40,Male,101437
964,116,729,Credit Card,39,Female,29686
964,2488,75,Credit Card,39,Female,29686
964,3011,247,Debit Card,39,Female,29686
964,4175,16,PayPal,39,Female,29686
79,118,423,Credit Card,27,Female,51575
79,293,993,Credit Card,27,Female,51575
79,850,611,PayPal,27,Female,51575
79,2128,202,PayPal,27,Female,51575
79,2815,982,PayPal,27,Female,51575
580,119,509,Debit Card,68,Male,146945
580,2242,952,PayPal,68,Male,146945
580,2390,667,PayPal,68,Male,146945
580,4043,509,Debit Card,68,Male,146945
580,4682,443,Debit Card,68,Male,146945
173,120,102,PayPal,30,Male,117883
173,232,591,PayPal,30,Male,117883
173,298,143,Debit Card,30,Male,117883
173,1118,853,Credit Card,30,Male,117883
173,1997,875,Debit Card,30,Male,117883
173,2329,437,Debit Card,30,Male,117883
173,4412,366,Credit Card,30,Male,117883
956,121,694,Credit Card,66,Male,25249
956,281,373,Debit Card,66,Male,25249
956,295,459,PayPal,66,Male,25249
956,827,923,Credit Card,66,Male,25249
956,2942,653,Credit Card,66,Male,25249
128,124,226,Credit Card,50,Male,41427
128,480,896,Debit Card,50,Male,41427
128,1753,585,PayPal,50,Male,41427
128,2606,619,Debit Card,50,Male,41427
